Date of Birth,Gender,Location,Subscription Plan,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Devices Used,Engagement Metrics,Feedback/Ratings,Customer Support Interactions,Duration,Age,Age Group,Engagement Metrics Numeric,Usage Frequency Numeric,Purchase History Numeric
1984-03-16,Female,East Christopherside,Annual,Amex,Auto-renew,Frequent,Books,Documentary,Smartphone,Low,4.1,5,365 days,40,36-45,0,1.0,0
1989-09-22,Female,Barnesland,Monthly,Amex,Manual,Regular,Books,Drama,Tablet,Medium,3.0,2,365 days,35,36-45,1,0.0,0
1992-03-25,Female,New Cory,Annual,Visa,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,Medium,4.4,4,365 days,32,26-35,1,1.0,0
1940-08-23,Female,Stevenview,Monthly,Amex,Manual,Occasional,Clothing,Horror,Tablet,Low,3.9,2,365 days,84,61+,0,,2
1946-07-26,Female,Stephensshire,Annual,Amex,Auto-renew,Occasional,Electronics,Action,Smartphone,High,3.7,8,365 days,78,61+,2,,1
1999-11-22,Female,Dawnfurt,Annual,Mastercard,Manual,Frequent,Clothing,Sci-Fi,Smartphone,Low,3.1,9,365 days,25,26-35,0,1.0,2
1984-12-12,Female,South Garyborough,Annual,Amex,Manual,Occasional,Clothing,Romance,Smartphone,High,3.7,3,365 days,40,36-45,2,,2
1990-03-31,Male,East Crystal,Annual,Mastercard,Manual,Regular,Electronics,Action,Tablet,Low,4.5,2,365 days,34,26-35,0,0.0,1
1999-09-30,Female,Angelahaven,Annual,Amex,Auto-renew,Frequent,Books,Horror,Smartphone,Medium,3.8,1,365 days,25,26-35,1,1.0,0
1975-02-13,Female,East Katherine,Annual,Visa,Auto-renew,Frequent,Books,Horror,Smartphone,Low,4.9,5,365 days,49,46-55,0,1.0,0
1962-06-19,Female,Lake Joseph,Annual,Mastercard,Auto-renew,Regular,Clothing,Horror,Tablet,Low,4.2,10,365 days,62,61+,0,0.0,2
1959-08-14,Female,New Sheila,Annual,Amex,Manual,Occasional,Electronics,Comedy,Smart TV,Medium,4.6,5,365 days,65,61+,1,,1
1968-02-12,Male,South Jane,Monthly,Visa,Manual,Regular,Electronics,Action,Smart TV,Medium,4.6,4,365 days,56,56-60,1,0.0,1
1963-06-07,Male,New John,Annual,Visa,Manual,Regular,Clothing,Sci-Fi,Smart TV,Medium,3.9,4,365 days,61,61+,1,0.0,2
1974-10-04,Female,Andersonstad,Monthly,Mastercard,Auto-renew,Regular,Books,Sci-Fi,Smartphone,Medium,3.7,3,365 days,50,46-55,1,0.0,0
1966-11-28,Female,Markfort,Annual,Amex,Auto-renew,Regular,Electronics,Comedy,Smart TV,Low,4.8,10,365 days,58,56-60,0,0.0,1
1963-01-24,Female,North Robertahaven,Monthly,Visa,Manual,Regular,Books,Comedy,Smartphone,High,4.8,7,365 days,61,61+,2,0.0,0
1961-10-05,Female,Lake Autumnside,Monthly,Visa,Auto-renew,Frequent,Electronics,Action,Smartphone,Medium,3.5,8,365 days,63,61+,1,1.0,1
1972-03-05,Male,Glovermouth,Monthly,Amex,Manual,Frequent,Clothing,Romance,Tablet,Low,4.7,3,365 days,52,46-55,0,1.0,2
1951-03-25,Female,North Kelly,Monthly,Amex,Auto-renew,Frequent,Electronics,Horror,Smartphone,High,4.8,4,365 days,73,61+,2,1.0,1
1939-06-16,Male,North Markmouth,Monthly,Visa,Manual,Occasional,Books,Horror,Smartphone,High,4.4,6,365 days,85,61+,2,,0
1942-07-10,Male,Elizabethstad,Monthly,Mastercard,Auto-renew,Occasional,Books,Action,Tablet,Low,4.1,8,365 days,82,61+,0,,0
1998-02-08,Female,Port Glenn,Monthly,Mastercard,Manual,Frequent,Electronics,Comedy,Tablet,High,4.7,4,365 days,26,26-35,2,1.0,1
1956-08-09,Female,West Joelton,Annual,Mastercard,Auto-renew,Frequent,Electronics,Horror,Tablet,Medium,3.4,0,365 days,68,61+,1,1.0,1
1975-07-27,Female,West Williamville,Annual,Mastercard,Manual,Occasional,Books,Comedy,Smartphone,Low,3.9,3,365 days,49,46-55,0,,0
1981-03-26,Male,Michaelborough,Annual,Visa,Auto-renew,Frequent,Clothing,Drama,Smartphone,Low,4.5,9,365 days,43,36-45,0,1.0,2
1957-04-09,Male,New Mark,Annual,Amex,Auto-renew,Occasional,Clothing,Comedy,Smartphone,Low,3.1,6,365 days,67,61+,0,,2
2002-09-25,Female,Tylerberg,Annual,Mastercard,Auto-renew,Frequent,Electronics,Horror,Smartphone,High,3.2,1,365 days,22,18-25,2,1.0,1
1980-12-08,Male,Timothyview,Annual,Amex,Manual,Occasional,Clothing,Horror,Smart TV,Low,3.7,9,365 days,44,36-45,0,,2
1961-05-28,Male,Leeport,Monthly,Mastercard,Auto-renew,Regular,Clothing,Drama,Smart TV,High,4.7,7,365 days,63,61+,2,0.0,2
1959-04-25,Male,West Mary,Monthly,Mastercard,Auto-renew,Frequent,Books,Sci-Fi,Smart TV,High,3.8,4,365 days,65,61+,2,1.0,0
1955-09-16,Male,Cruzborough,Annual,Visa,Manual,Occasional,Clothing,Comedy,Smartphone,Medium,4.8,9,365 days,69,61+,1,,2
1965-03-09,Male,Brianmouth,Annual,Visa,Auto-renew,Frequent,Books,Romance,Smartphone,High,5.0,6,365 days,59,56-60,2,1.0,0
1963-04-17,Female,Veronicabury,Annual,Amex,Auto-renew,Occasional,Electronics,Horror,Smartphone,Medium,4.5,9,365 days,61,61+,1,,1
2002-03-25,Male,Tonyaberg,Monthly,Amex,Auto-renew,Frequent,Clothing,Horror,Smart TV,Medium,3.1,10,365 days,22,18-25,1,1.0,2
1944-04-26,Male,Jeffreyport,Annual,Mastercard,Auto-renew,Regular,Electronics,Drama,Smart TV,Low,3.2,0,365 days,80,61+,0,0.0,1
1957-12-17,Male,Port Sue,Annual,Visa,Manual,Frequent,Electronics,Horror,Tablet,Medium,4.5,1,365 days,67,61+,1,1.0,1
1961-09-29,Female,South Travis,Monthly,Visa,Manual,Regular,Clothing,Horror,Smart TV,Low,4.7,4,365 days,63,61+,0,0.0,2
1963-03-07,Male,East Joshuaburgh,Monthly,Visa,Auto-renew,Frequent,Books,Romance,Smart TV,High,3.2,2,365 days,61,61+,2,1.0,0
1986-06-24,Male,Lake William,Annual,Amex,Manual,Occasional,Clothing,Comedy,Smart TV,High,4.4,7,365 days,38,36-45,2,,2
1994-10-15,Male,Karenborough,Monthly,Visa,Manual,Occasional,Books,Romance,Smartphone,High,4.8,2,365 days,30,26-35,2,,0
2004-06-22,Female,Port Charles,Annual,Amex,Auto-renew,Frequent,Electronics,Documentary,Smartphone,High,4.0,6,365 days,20,18-25,2,1.0,1
1999-01-16,Male,Amandamouth,Monthly,Amex,Manual,Occasional,Books,Sci-Fi,Tablet,Medium,4.2,0,365 days,25,26-35,1,,0
1942-11-03,Female,Parkerfort,Annual,Visa,Manual,Frequent,Clothing,Drama,Smart TV,High,4.7,5,365 days,82,61+,2,1.0,2
2003-01-28,Male,West Jillstad,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Horror,Smartphone,Low,3.1,0,365 days,21,18-25,0,,1
1954-07-17,Male,Simsland,Monthly,Mastercard,Manual,Frequent,Clothing,Action,Smartphone,Low,3.1,4,365 days,70,61+,0,1.0,2
1941-01-29,Female,Ryanburgh,Monthly,Visa,Auto-renew,Regular,Books,Horror,Tablet,Medium,4.1,0,365 days,83,61+,1,0.0,0
1951-03-30,Female,Boyerville,Annual,Mastercard,Auto-renew,Frequent,Electronics,Romance,Tablet,High,4.1,9,365 days,73,61+,2,1.0,1
1958-10-26,Female,New Pamela,Monthly,Mastercard,Manual,Regular,Clothing,Documentary,Tablet,Low,4.1,9,365 days,66,61+,0,0.0,2
1964-12-17,Female,Roachville,Monthly,Amex,Auto-renew,Regular,Electronics,Comedy,Smartphone,Medium,4.6,6,365 days,60,61+,1,0.0,1
1956-09-10,Female,East Christopherton,Monthly,Mastercard,Auto-renew,Occasional,Clothing,Horror,Smartphone,Medium,4.4,8,365 days,68,61+,1,,2
1934-04-03,Male,East Carolyn,Annual,Amex,Auto-renew,Regular,Electronics,Action,Tablet,High,3.5,3,365 days,90,61+,2,0.0,1
1971-04-23,Male,South Nicoleport,Monthly,Visa,Auto-renew,Frequent,Electronics,Comedy,Smartphone,High,4.7,1,365 days,53,46-55,2,1.0,1
1975-03-13,Male,Port Michael,Annual,Visa,Auto-renew,Occasional,Books,Comedy,Smart TV,High,4.7,7,365 days,49,46-55,2,,0
1975-03-22,Female,Whitebury,Annual,Amex,Manual,Occasional,Clothing,Drama,Smartphone,High,3.3,6,365 days,49,46-55,2,,2
1981-12-25,Male,Deleontown,Monthly,Amex,Manual,Frequent,Electronics,Documentary,Smartphone,High,3.5,1,365 days,43,36-45,2,1.0,1
1987-01-27,Male,West Emilyborough,Monthly,Visa,Manual,Regular,Books,Sci-Fi,Smartphone,High,3.4,6,365 days,37,36-45,2,0.0,0
1968-03-30,Male,Lake James,Monthly,Mastercard,Manual,Frequent,Books,Romance,Smart TV,High,3.5,2,365 days,56,56-60,2,1.0,0
1985-11-04,Female,Rogersland,Monthly,Amex,Manual,Regular,Electronics,Comedy,Smartphone,High,3.5,10,365 days,39,36-45,2,0.0,1
1940-02-27,Male,Lopezmouth,Monthly,Visa,Manual,Occasional,Books,Action,Smartphone,Low,4.7,6,365 days,84,61+,0,,0
1998-12-26,Female,Wallsfurt,Annual,Amex,Manual,Occasional,Electronics,Drama,Smart TV,Low,3.9,1,365 days,26,26-35,0,,1
1956-03-08,Male,Cameronside,Monthly,Visa,Auto-renew,Regular,Books,Comedy,Smart TV,Low,4.3,4,365 days,68,61+,0,0.0,0
1986-08-17,Male,New Courtneyton,Annual,Mastercard,Auto-renew,Frequent,Clothing,Horror,Tablet,Medium,4.5,7,365 days,38,36-45,1,1.0,2
1967-12-04,Female,Port Amy,Annual,Mastercard,Auto-renew,Occasional,Electronics,Sci-Fi,Tablet,High,3.1,2,365 days,57,56-60,2,,1
1944-08-31,Male,Randallhaven,Monthly,Visa,Manual,Occasional,Clothing,Sci-Fi,Smartphone,Low,4.8,4,365 days,80,61+,0,,2
1969-12-31,Male,Lake Ryan,Monthly,Amex,Auto-renew,Regular,Clothing,Romance,Tablet,Low,4.8,9,365 days,55,56-60,0,0.0,2
1942-05-11,Female,Steinfort,Annual,Mastercard,Manual,Regular,Books,Drama,Tablet,Low,3.8,5,365 days,82,61+,0,0.0,0
2001-07-05,Male,Jonesborough,Annual,Amex,Auto-renew,Frequent,Electronics,Drama,Smartphone,High,4.6,6,365 days,23,18-25,2,1.0,1
1956-04-13,Male,Kurtstad,Annual,Mastercard,Manual,Regular,Electronics,Action,Smartphone,Medium,3.0,9,365 days,68,61+,1,0.0,1
1998-09-22,Male,Johntown,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Romance,Smartphone,Medium,3.1,4,365 days,26,26-35,1,1.0,1
1955-10-22,Male,Austinside,Annual,Amex,Manual,Occasional,Clothing,Horror,Smartphone,High,4.3,4,365 days,69,61+,2,,2
1943-10-01,Female,Lake Timothy,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Action,Smart TV,High,4.7,6,365 days,81,61+,2,1.0,1
1990-04-19,Male,South Scottburgh,Annual,Amex,Manual,Regular,Clothing,Sci-Fi,Tablet,Medium,4.0,4,365 days,34,26-35,1,0.0,2
1955-10-30,Female,Vanessastad,Annual,Mastercard,Auto-renew,Regular,Books,Drama,Smart TV,Low,4.0,10,365 days,69,61+,0,0.0,0
1994-11-29,Female,Lake Matthewtown,Annual,Amex,Auto-renew,Occasional,Electronics,Drama,Smart TV,High,3.9,5,365 days,30,26-35,2,,1
1962-02-14,Female,New Joseph,Annual,Visa,Manual,Regular,Clothing,Documentary,Smartphone,Medium,4.8,0,365 days,62,61+,1,0.0,2
1966-12-07,Female,Victoriaton,Annual,Mastercard,Auto-renew,Regular,Electronics,Action,Smartphone,Medium,4.6,9,365 days,58,56-60,1,0.0,1
1986-11-04,Male,North Mariotown,Annual,Mastercard,Auto-renew,Regular,Clothing,Action,Tablet,Low,4.7,3,365 days,38,36-45,0,0.0,2
1969-05-07,Male,Annchester,Monthly,Mastercard,Manual,Occasional,Electronics,Action,Smart TV,Medium,4.5,7,365 days,55,56-60,1,,1
1947-08-07,Male,North Timothychester,Annual,Visa,Manual,Frequent,Books,Comedy,Tablet,High,5.0,7,365 days,77,61+,2,1.0,0
1994-09-15,Male,East Jasmine,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Horror,Smart TV,High,3.5,4,365 days,30,26-35,2,1.0,1
1975-11-10,Female,Lake Jennifer,Annual,Amex,Manual,Regular,Electronics,Sci-Fi,Smartphone,Low,4.9,2,365 days,49,46-55,0,0.0,1
1976-03-26,Male,Matthewfurt,Annual,Mastercard,Auto-renew,Regular,Books,Romance,Smart TV,High,4.6,9,365 days,48,46-55,2,0.0,0
1957-04-24,Male,Gonzalezland,Annual,Amex,Manual,Frequent,Books,Romance,Smart TV,Medium,3.5,5,365 days,67,61+,1,1.0,0
1943-01-25,Female,Rachelbury,Annual,Amex,Auto-renew,Occasional,Electronics,Action,Smartphone,Medium,3.1,0,365 days,81,61+,1,,1
1936-09-11,Male,South Alexander,Annual,Mastercard,Auto-renew,Regular,Electronics,Romance,Smartphone,Medium,3.4,7,365 days,88,61+,1,0.0,1
2000-12-15,Male,Andrewville,Monthly,Mastercard,Manual,Occasional,Electronics,Romance,Smartphone,Medium,4.1,10,365 days,24,18-25,1,,1
1944-01-20,Female,East Sheryl,Annual,Visa,Auto-renew,Frequent,Electronics,Romance,Smartphone,Medium,3.8,7,365 days,80,61+,1,1.0,1
1956-06-02,Female,West Jasmine,Annual,Mastercard,Manual,Regular,Clothing,Action,Smart TV,High,3.8,7,365 days,68,61+,2,0.0,2
1935-11-18,Female,Thompsonton,Annual,Amex,Manual,Frequent,Electronics,Drama,Smartphone,Low,4.1,4,365 days,89,61+,0,1.0,1
1934-03-19,Male,South Christopherburgh,Annual,Mastercard,Manual,Regular,Electronics,Drama,Tablet,Medium,4.7,2,365 days,90,61+,1,0.0,1
1957-06-04,Male,Maureenmouth,Annual,Mastercard,Manual,Occasional,Electronics,Action,Smartphone,High,3.5,10,365 days,67,61+,2,,1
1982-12-29,Male,Jamesview,Annual,Mastercard,Auto-renew,Occasional,Electronics,Sci-Fi,Tablet,Low,5.0,1,365 days,42,36-45,0,,1
1989-01-30,Female,Riceton,Monthly,Visa,Auto-renew,Frequent,Electronics,Action,Smartphone,High,4.2,5,365 days,35,36-45,2,1.0,1
1940-02-20,Female,Cassandramouth,Annual,Visa,Auto-renew,Frequent,Electronics,Drama,Smartphone,High,3.3,6,365 days,84,61+,2,1.0,1
1989-11-12,Male,East Thomasfort,Annual,Visa,Manual,Regular,Electronics,Drama,Smartphone,Low,4.3,8,365 days,35,36-45,0,0.0,1
1954-03-26,Female,Clarenceborough,Monthly,Visa,Manual,Frequent,Books,Documentary,Smart TV,High,4.3,1,365 days,70,61+,2,1.0,0
2006-03-03,Male,Wellsville,Monthly,Visa,Manual,Occasional,Books,Drama,Tablet,Medium,4.3,9,365 days,18,18-25,1,,0
1986-04-21,Female,Smithview,Annual,Visa,Manual,Regular,Books,Comedy,Smart TV,High,4.4,1,365 days,38,36-45,2,0.0,0
1967-03-26,Male,Larryside,Monthly,Amex,Manual,Occasional,Clothing,Documentary,Tablet,High,3.1,10,365 days,57,56-60,2,,2
1969-04-07,Male,Lake Amber,Annual,Visa,Manual,Frequent,Electronics,Romance,Smartphone,Low,4.3,0,365 days,55,56-60,0,1.0,1
1975-01-27,Male,Jorgechester,Annual,Visa,Auto-renew,Occasional,Clothing,Documentary,Smart TV,Low,3.2,6,365 days,49,46-55,0,,2
1974-06-19,Male,Pachecoville,Monthly,Mastercard,Manual,Regular,Electronics,Comedy,Smart TV,Medium,3.2,3,365 days,50,46-55,1,0.0,1
1944-12-07,Female,Gonzalezshire,Monthly,Amex,Auto-renew,Regular,Clothing,Sci-Fi,Smartphone,High,4.8,3,365 days,80,61+,2,0.0,2
1980-08-28,Female,Craigberg,Annual,Mastercard,Auto-renew,Occasional,Clothing,Action,Tablet,Low,4.3,9,365 days,44,36-45,0,,2
1988-01-26,Female,Jamesshire,Monthly,Mastercard,Manual,Occasional,Books,Action,Tablet,High,3.8,0,365 days,36,36-45,2,,0
1997-10-12,Female,Lake Shelley,Annual,Amex,Manual,Regular,Books,Sci-Fi,Smartphone,High,4.8,6,365 days,27,26-35,2,0.0,0
1989-10-21,Female,Adriennemouth,Annual,Mastercard,Auto-renew,Occasional,Electronics,Action,Tablet,Medium,4.8,2,365 days,35,36-45,1,,1
1985-07-18,Female,East Jodyview,Monthly,Mastercard,Auto-renew,Regular,Clothing,Documentary,Smart TV,Medium,3.6,9,365 days,39,36-45,1,0.0,2
1969-12-28,Male,Amandaville,Annual,Amex,Manual,Frequent,Books,Documentary,Smartphone,Low,4.5,10,365 days,55,56-60,0,1.0,0
2001-06-30,Female,Bushhaven,Annual,Amex,Manual,Frequent,Books,Comedy,Smart TV,Low,4.7,0,365 days,23,18-25,0,1.0,0
1952-09-22,Female,New Katelyn,Annual,Amex,Manual,Regular,Clothing,Drama,Tablet,Medium,4.7,2,365 days,72,61+,1,0.0,2
1961-12-17,Male,South Trevor,Monthly,Visa,Auto-renew,Regular,Books,Comedy,Smart TV,Low,3.9,3,365 days,63,61+,0,0.0,0
1981-12-09,Male,Richardsmouth,Monthly,Mastercard,Manual,Regular,Electronics,Action,Smart TV,High,4.9,7,365 days,43,36-45,2,0.0,1
1944-09-17,Female,East Victoria,Monthly,Amex,Manual,Occasional,Electronics,Sci-Fi,Smartphone,Low,3.1,1,365 days,80,61+,0,,1
1973-09-04,Male,West Nicole,Annual,Visa,Manual,Frequent,Clothing,Drama,Smartphone,Medium,4.0,4,365 days,51,46-55,1,1.0,2
2005-10-15,Female,Lake Andreabury,Monthly,Mastercard,Manual,Occasional,Clothing,Documentary,Tablet,High,4.3,2,365 days,19,18-25,2,,2
1974-07-02,Female,Lake Brenda,Monthly,Mastercard,Manual,Regular,Books,Romance,Smart TV,High,4.0,6,365 days,50,46-55,2,0.0,0
1983-09-27,Female,Lake Joe,Annual,Visa,Manual,Regular,Electronics,Documentary,Smart TV,High,4.1,6,365 days,41,36-45,2,0.0,1
2005-10-28,Female,Sallyburgh,Annual,Mastercard,Auto-renew,Regular,Books,Drama,Smart TV,High,4.7,10,365 days,19,18-25,2,0.0,0
1992-04-03,Female,Fordhaven,Monthly,Visa,Auto-renew,Occasional,Books,Drama,Smartphone,High,3.6,6,365 days,32,26-35,2,,0
1943-05-01,Female,Lake Michaelmouth,Monthly,Visa,Auto-renew,Frequent,Electronics,Drama,Smart TV,Low,4.8,5,365 days,81,61+,0,1.0,1
1964-05-02,Female,South Elizabeth,Monthly,Amex,Manual,Occasional,Books,Documentary,Tablet,Medium,3.2,8,365 days,60,61+,1,,0
1992-09-30,Female,Tiffanyshire,Monthly,Amex,Manual,Occasional,Electronics,Action,Smart TV,High,4.9,6,365 days,32,26-35,2,,1
1957-06-15,Female,Reneefurt,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Horror,Tablet,High,3.0,1,365 days,67,61+,2,,1
1970-01-17,Male,South Richard,Annual,Amex,Manual,Regular,Electronics,Sci-Fi,Smart TV,High,4.7,10,365 days,54,46-55,2,0.0,1
2000-06-20,Female,South Mikemouth,Monthly,Amex,Auto-renew,Regular,Books,Drama,Tablet,Medium,4.2,7,365 days,24,18-25,1,0.0,0
1960-01-13,Male,Port Shannon,Monthly,Amex,Manual,Frequent,Clothing,Romance,Tablet,Medium,4.0,2,365 days,64,61+,1,1.0,2
1943-07-23,Male,South Richard,Monthly,Amex,Auto-renew,Occasional,Clothing,Comedy,Tablet,Low,4.6,3,365 days,81,61+,0,,2
1994-12-01,Male,West Laurie,Annual,Amex,Manual,Occasional,Electronics,Sci-Fi,Tablet,High,3.6,1,365 days,30,26-35,2,,1
1950-10-02,Male,East Ianchester,Annual,Visa,Auto-renew,Regular,Clothing,Drama,Tablet,Low,3.9,1,365 days,74,61+,0,0.0,2
1981-10-05,Male,New Elizabeth,Monthly,Visa,Auto-renew,Occasional,Books,Horror,Tablet,High,4.9,1,365 days,43,36-45,2,,0
1985-09-18,Female,Rachelside,Annual,Visa,Manual,Frequent,Electronics,Drama,Tablet,High,3.4,2,365 days,39,36-45,2,1.0,1
1946-09-25,Female,West Lynn,Monthly,Mastercard,Auto-renew,Regular,Electronics,Drama,Tablet,Medium,3.2,0,365 days,78,61+,1,0.0,1
1965-06-04,Male,New Robertview,Annual,Mastercard,Auto-renew,Frequent,Clothing,Sci-Fi,Tablet,Medium,3.1,2,365 days,59,56-60,1,1.0,2
1975-11-24,Male,East Amandaport,Monthly,Visa,Manual,Occasional,Clothing,Drama,Smartphone,High,3.5,4,365 days,49,46-55,2,,2
1978-08-06,Female,Lake Alexisborough,Annual,Visa,Manual,Occasional,Electronics,Romance,Smartphone,High,4.4,2,365 days,46,46-55,2,,1
1965-09-29,Female,Dawnborough,Monthly,Visa,Auto-renew,Frequent,Electronics,Action,Smartphone,Medium,5.0,6,365 days,59,56-60,1,1.0,1
1970-04-20,Female,Port Latoyamouth,Monthly,Visa,Manual,Frequent,Clothing,Romance,Tablet,High,4.4,9,365 days,54,46-55,2,1.0,2
1943-04-27,Female,Jacksonborough,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Sci-Fi,Smart TV,Medium,3.2,2,365 days,81,61+,1,,1
1933-05-04,Male,Castroville,Annual,Mastercard,Manual,Frequent,Electronics,Comedy,Smartphone,Low,5.0,10,365 days,91,61+,0,1.0,1
1947-12-03,Female,Port James,Annual,Mastercard,Auto-renew,Regular,Books,Action,Smartphone,Low,3.8,7,365 days,77,61+,0,0.0,0
1956-10-08,Male,Conradton,Annual,Visa,Auto-renew,Frequent,Electronics,Drama,Tablet,Low,4.2,3,365 days,68,61+,0,1.0,1
1998-06-20,Female,Michaelborough,Monthly,Visa,Manual,Frequent,Books,Sci-Fi,Tablet,High,3.8,3,365 days,26,26-35,2,1.0,0
1988-09-05,Male,Lake Daniel,Annual,Visa,Auto-renew,Frequent,Electronics,Horror,Smartphone,Low,4.3,5,365 days,36,36-45,0,1.0,1
1978-05-31,Female,Port Paula,Annual,Visa,Manual,Frequent,Clothing,Sci-Fi,Smartphone,High,4.4,9,365 days,46,46-55,2,1.0,2
2005-03-05,Female,East Justin,Annual,Visa,Manual,Occasional,Clothing,Romance,Smart TV,Medium,4.3,6,365 days,19,18-25,1,,2
1973-06-21,Female,Phillipston,Monthly,Visa,Manual,Occasional,Clothing,Comedy,Smartphone,High,3.0,6,365 days,51,46-55,2,,2
1982-04-05,Female,North Amy,Monthly,Mastercard,Manual,Frequent,Clothing,Horror,Tablet,Low,4.4,1,365 days,42,36-45,0,1.0,2
1984-01-17,Female,East Lukeburgh,Monthly,Visa,Auto-renew,Frequent,Electronics,Action,Smartphone,High,3.7,10,365 days,40,36-45,2,1.0,1
2003-06-05,Female,Hurstshire,Monthly,Visa,Auto-renew,Frequent,Books,Comedy,Smartphone,High,3.2,2,365 days,21,18-25,2,1.0,0
1962-02-11,Male,West Gabriellaborough,Annual,Visa,Manual,Occasional,Electronics,Horror,Smart TV,Medium,4.4,10,365 days,62,61+,1,,1
1991-11-13,Female,North Lisaport,Annual,Amex,Manual,Frequent,Clothing,Comedy,Tablet,Low,4.1,8,365 days,33,26-35,0,1.0,2
1996-07-21,Male,North Michael,Annual,Mastercard,Auto-renew,Occasional,Electronics,Sci-Fi,Tablet,Medium,3.1,7,365 days,28,26-35,1,,1
1946-06-09,Male,South Christopher,Monthly,Amex,Auto-renew,Regular,Clothing,Action,Smartphone,Medium,4.2,3,365 days,78,61+,1,0.0,2
2005-11-30,Female,Port Marymouth,Annual,Amex,Manual,Frequent,Clothing,Documentary,Tablet,Low,4.4,5,365 days,19,18-25,0,1.0,2
1967-02-13,Male,Port Paul,Annual,Visa,Auto-renew,Occasional,Clothing,Comedy,Smart TV,Low,3.2,7,365 days,57,56-60,0,,2
1969-09-21,Male,East Mary,Annual,Mastercard,Auto-renew,Regular,Electronics,Romance,Smart TV,Medium,3.9,8,365 days,55,56-60,1,0.0,1
1989-08-29,Male,West Robert,Monthly,Visa,Manual,Occasional,Books,Action,Smartphone,Medium,3.2,7,365 days,35,36-45,1,,0
1950-11-03,Male,Port Robertstad,Monthly,Mastercard,Auto-renew,Occasional,Books,Action,Tablet,Medium,4.8,9,365 days,74,61+,1,,0
1958-01-14,Female,New Shelbyton,Monthly,Visa,Auto-renew,Regular,Clothing,Sci-Fi,Smart TV,Low,4.5,1,365 days,66,61+,0,0.0,2
2002-07-15,Female,Martinezview,Annual,Mastercard,Manual,Occasional,Books,Drama,Tablet,Low,3.2,0,365 days,22,18-25,0,,0
1990-07-17,Male,North Ryanmouth,Monthly,Amex,Manual,Frequent,Books,Horror,Tablet,Low,3.5,7,365 days,34,26-35,0,1.0,0
1945-02-01,Female,Gonzalesborough,Annual,Mastercard,Auto-renew,Occasional,Clothing,Documentary,Smartphone,High,3.3,7,365 days,79,61+,2,,2
1981-07-26,Female,Lake Lisabury,Monthly,Mastercard,Auto-renew,Occasional,Clothing,Horror,Tablet,Low,4.1,10,365 days,43,36-45,0,,2
1979-10-30,Female,Johnsonchester,Monthly,Mastercard,Manual,Occasional,Electronics,Comedy,Smart TV,High,4.7,8,365 days,45,46-55,2,,1
1948-05-07,Female,South James,Annual,Amex,Auto-renew,Regular,Books,Action,Smart TV,High,3.6,3,365 days,76,61+,2,0.0,0
1963-02-11,Male,Tuckerport,Annual,Visa,Auto-renew,Frequent,Clothing,Action,Tablet,Low,3.4,10,365 days,61,61+,0,1.0,2
1975-06-16,Female,New Cynthiahaven,Annual,Visa,Manual,Occasional,Books,Romance,Tablet,High,3.9,10,365 days,49,46-55,2,,0
1933-07-15,Female,Lynchbury,Monthly,Visa,Auto-renew,Frequent,Electronics,Comedy,Tablet,High,4.5,7,365 days,91,61+,2,1.0,1
1950-11-09,Female,East Joel,Monthly,Mastercard,Auto-renew,Frequent,Clothing,Horror,Smart TV,Low,3.6,7,365 days,74,61+,0,1.0,2
1954-11-08,Male,Shannonport,Monthly,Amex,Auto-renew,Frequent,Books,Sci-Fi,Tablet,Low,3.3,8,365 days,70,61+,0,1.0,0
1968-12-03,Female,Klineland,Annual,Mastercard,Auto-renew,Frequent,Clothing,Documentary,Smartphone,High,3.5,4,365 days,56,56-60,2,1.0,2
1985-10-14,Male,Jeffersonfurt,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Sci-Fi,Smart TV,Low,4.9,5,365 days,39,36-45,0,,1
1939-04-08,Male,Ricardoburgh,Annual,Amex,Auto-renew,Regular,Clothing,Documentary,Tablet,Low,3.4,5,365 days,85,61+,0,0.0,2
1967-02-11,Female,East Caitlin,Monthly,Visa,Auto-renew,Frequent,Clothing,Documentary,Smartphone,Medium,4.2,3,365 days,57,56-60,1,1.0,2
1981-11-15,Male,West Shawnside,Monthly,Visa,Auto-renew,Regular,Electronics,Horror,Tablet,High,3.6,8,365 days,43,36-45,2,0.0,1
1960-10-14,Female,East Daniel,Monthly,Mastercard,Manual,Frequent,Electronics,Documentary,Tablet,Medium,3.4,10,365 days,64,61+,1,1.0,1
1980-06-25,Male,New Joshua,Annual,Visa,Auto-renew,Occasional,Books,Documentary,Smart TV,Medium,4.3,5,365 days,44,36-45,1,,0
1960-05-21,Male,Haynesburgh,Monthly,Visa,Manual,Frequent,Books,Horror,Smartphone,Medium,3.9,7,365 days,64,61+,1,1.0,0
1952-03-19,Female,West Charlotteberg,Annual,Visa,Auto-renew,Frequent,Books,Comedy,Smartphone,Low,4.6,8,365 days,72,61+,0,1.0,0
